Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98668.235;98730.871;98691.588;160.491;572.424;817.644;385.032;-1190.232;984.174;336.415;878.217;379.054;-1433.134;-539.911;-28.914;242.231;-1483.215;-47.458;15032.500;19267.500;12407.500;-176120.000;92207.500;-289520.000;92452.500;-194932.500;282520.000;22242.500;-70665.000;-20125.000;-67497.500;28210.000;15767.500;1719306512196;
98668.235;98730.871;98691.858;191.662;557.845;821.853;395.951;-804.590;888.099;244.488;1167.967;376.248;-1299.178;-127.307;-183.671;149.633;-1266.726;-227.164;14490.000;20457.500;17237.500;-177835.000;42350.000;-358592.500;45307.500;-199447.500;352047.500;-18707.500;-64522.500;-52167.500;-65292.500;-16170.000;52762.500;1719306512220;
98668.425;98730.496;98691.858;168.055;587.308;800.015;512.034;-213.073;805.688;61.122;1568.249;389.058;-1258.979;-14.091;-213.988;181.231;-1157.902;-396.927;12145.000;21752.500;21105.000;-186655.000;-20527.500;-416395.000;-16047.500;-210175.000;406997.500;-38570.000;-52185.000;-60637.500;-38587.500;-56000.000;65117.500;1719306512241;
98668.425;98730.496;98691.858;175.619;599.447;777.567;598.471;211.243;646.722;-8.174;1626.382;376.248;-1119.045;209.901;-303.353;74.725;-1080.554;-280.051;11917.500;19880.000;21822.500;-194337.500;-50050.000;-417340.000;-31692.500;-213780.000;408765.000;-76737.500;-20755.000;-66815.000;-21385.000;-75407.500;65607.500;1719306512250;
98668.425;98730.496;98691.858;112.484;612.989;775.737;660.996;403.637;583.160;-158.295;1687.443;356.972;-820.267;429.806;-187.087;59.170;-786.046;122.671;5407.500;14192.500;20562.500;-197802.500;-60777.500;-406927.500;-55475.000;-218977.500;389077.500;-79030.000;22732.500;-20405.000;25252.500;-83510.000;18550.000;1719306512295;
98668.655;98730.496;98691.661;135.298;628.300;785.558;844.301;781.593;373.930;-243.695;1703.974;335.012;-1138.077;-40.687;-6.527;26.901;-1173.701;-17.568;7175.000;8120.000;17342.500;-202265.000;-74987.500;-364455.000;-64120.000;-219975.000;367832.500;-3710.000;4567.500;19845.000;2275.000;-1575.000;-18445.000;1719306512340;
98668.655;98730.496;98691.223;151.707;626.470;790.133;946.659;922.625;291.031;-398.086;1678.537;302.133;-1157.109;-149.511;-3.599;34.709;-1175.592;-14.213;6300.000;6072.500;16730.000;-202370.000;-77910.000;-333060.000;-73465.000;-216160.000;304045.000;-2677.500;3185.000;13090.000;2047.500;-2117.500;-14700.000;1719306512354;
98668.655;98730.496;98691.223;164.944;633.790;798.368;1169.370;1166.320;172.508;-468.175;1655.357;299.937;-1091.534;-173.423;-13.908;45.018;-1105.869;-42.334;5355.000;5932.500;16852.500;-197207.500;-79257.500;-253487.500;-75547.500;-210962.500;263130.000;-7490.000;2765.000;2100.000;2292.500;-7140.000;-4200.000;1719306512361;
98668.595;98730.375;98691.223;148.230;613.721;803.248;1228.601;1231.895;127.612;-546.743;1533.967;273.463;-1074.149;-110.532;-77.958;62.098;-1068.232;-130.906;3675.000;4252.500;16940.000;-192290.000;-79870.000;-206797.500;-80762.500;-195265.000;168280.000;-22715.000;9572.500;-15732.500;9887.500;-22820.000;12652.500;1719306512401;
98668.595;98730.375;98691.223;159.393;617.015;797.148;1320.894;1235.311;-20.130;-562.969;1499.746;241.804;-1053.592;-55.815;-88.206;45.628;-1047.309;-115.351;3255.000;2852.500;16817.500;-179392.500;-80692.500;-108640.000;-83300.000;-185657.500;118387.500;-28052.500;14227.500;-20107.500;14875.000;-28542.500;16922.500;1719306512406;
98668.595;98730.375;98691.223;185.196;611.037;784.460;1360.239;1109.163;-189.832;-553.453;1489.254;172.020;-979.416;85.949;-59.292;53.863;-973.621;-22.387;1662.500;630.000;14105.000;-163187.500;-75250.000;-11882.500;-82915.000;-163905.000;19390.000;-33110.000;21770.000;-23205.000;23380.000;-34580.000;19985.000;1719306512436;
98668.595;98730.375;98691.445;181.658;614.087;787.937;1364.692;1062.681;-242.048;-546.682;1500.112;153.720;-914.817;214.659;-21.960;131.516;-912.499;65.575;192.500;752.500;12967.500;-154350.000;-70105.000;33775.000;-79642.500;-152495.000;-27230.000;-26285.000;21945.000;-19722.500;23957.500;-28437.500;16957.500;1719306512445;
98668.595;98730.375;98691.445;170.434;601.582;793.000;1280.695;783.850;-368.745;-451.034;1484.496;79.971;-909.144;237.961;-16.287;137.616;-909.205;88.938;-1802.500;-2117.500;9852.500;-137392.500;-55685.000;115692.500;-68652.500;-130287.500;-112682.500;-21700.000;20160.000;-17675.000;19530.000;-18847.500;13212.500;1719306512453;
98668.590;98730.146;98691.445;173.606;622.993;778.421;1215.547;621.407;-417.606;-392.474;1463.695;46.421;-917.135;258.152;-29.036;131.516;-913.536;83.021;-4375.000;-7280.000;6790.000;-130025.000;-45797.500;149292.500;-60112.500;-120837.500;-148120.000;-12302.500;15715.000;-12250.000;16940.000;-14035.000;10675.000;1719306512474;
98668.590;98730.146;98691.445;204.411;590.663;793.122;1078.663;234.789;-482.632;-258.884;1395.192;-17.751;-921.527;257.481;-57.279;126.880;-925.675;50.386;-6247.500;-9415.000;2520.000;-119332.500;-21647.500;197610.000;-37450.000;-107187.500;-200252.500;-6037.500;12827.500;-5460.000;13247.500;-7140.000;4357.500;1719306512497;
